Energia;Tempo;Bailabilidad;Genero;Volumen ;Vivacidad;Valencia;Hablabilidad;Popularidad;Fecha_lanzamiento;Instrumentalidad;Modo;duration_min;Acustico
0.824;120.125;0.5;rock;-5.846;0.0916;0.539;0.0388;76;26/09/1991;0.00161;0;364.866.666.666.667;0.00016
0.767;96.483;0.592;rock;-2.788;0.127;0.328;0.027;81;8/06/1999;0.00165;0;549.555;0.0021
0.952;125.304;0.445;rock;-5.321;0.112;0.624;0.0522;84;21/07/1987;0.0843;1;593.445;0.09
0.795;158.691;0.464;rock;-9.267;0.399;0.612;0.0926;81;15/04/1966;0.00244;1;337.111.666.666.667;0.0493
0.492;120.151;0.828;rock;-9.744;0.128;0.789;0.0276;84;4/02/1977;0.00428;1;429.666.666.666.667;0.0644
0.881;158.066;0.413;rock;-5.541;0.0805;0.364;0.0367;81;20/05/1997;0.000308;0;417.578.333.333.333;5.99e-05
0.716;94.379;0.535;rock;-5.025;0.659;0.901;0.0431;77;18/11/1981;0;1;291.955;0.326
0.322;93.503;0.475;rock;-10.687;0.11;0.387;0.0283;79;1977;0.00056;1;343.778.333.333.333;0.367
0.394;104.114;0.693;rock;-15.882;0.247;0.721;0.0428;74;30/11/1979;0.000694;1;397.911.666.666.667;0.0782
0.899;152.445;0.475;rock;-4.321;0.14;0.603;0.0637;72;23/01/1984;1.91e-05;0;384.445;0.00375
0.943;85.064;0.442;rock;-3.205;0.091;0.781;0.0602;80;1/02/1994;8.71e-06;1;302.555;0.00293
0.345;84.581;0.559;rock;-13.496;0.141;0.458;0.0459;82;24/09/1991;0.000105;1;440.511.666.666.667;0.0576
0.814;147.193;0.673;rock;-5.411;0.343;0.728;0.0367;70;1/01/1982;0.00293;1;420.333.333.333.333;0.0134
0.767;127.361;0.532;rock;-5.509;0.39;0.755;0.0574;81;25/07/1980;0.000513;1;350.288.333.333.333;0.00287
0.863;136.302;0.723;rock;-7.89;0.128;0.931;0.0338;76;30/07/1965;0.0317;1;371.355;0.0383
0.449;100.456;0.486;rock;-10.298;0.54;0.549;0.0267;76;6/06/1972;2.23e-06;1;423.821.666.666.667;0.166
0.902;89.74;0.412;rock;-11.6;0.405;0.422;0.405;72;22/10/1969;0.131;1;556.488.333.333.333;0.0484
0.722;103.886;0.55;rock;-11.729;0.11;0.716;0.0283;70;19/04/1971;0.0129;0;724.533.333.333.333;0.25
0.944;105.338;0.394;rock;-6.506;0.298;0.265;0.0761;77;27/08/1991;4.54e-06;0;487.635;0.00178
0.952;122.093;0.398;rock;-6.042;0.1;0.584;0.061;72;4/06/1984;7.75e-05;1;464.466.666.666.667;0.000373
0.917;171.176;0.356;rock;-6.006;0.406;0.518;0.0479;79;29/09/1997;0;1;595.445;0.0335
